DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
8.000000,634.000000,SABANAGRANDE,2011.000000,5.000000,10.79076785,-74.7568487,8634.000000,8634.000000,407.000000,4835.000000,20.000000,5262.000000
8.000000,675.000000,SANTA LUCÍA,2011.000000,5.000000,10.3242207,-74.95969368,8675.000000,8675.000000,108.000000,520.000000,2.000000,630.000000
8.000000,685.000000,SANTO TOMÁS,2011.000000,5.000000,10.75904064,-74.75536807,8685.000000,8685.000000,180.000000,3090.000000,10.000000,3280.000000
8.000000,770.000000,SUAN,2011.000000,5.000000,10.33369849,-74.88012314,8770.000000,8770.000000,103.000000,635.000000,9.000000,747.000000
11.000000,1.000000,BOGOTÁ D.C.,2011.000000,5.000000,4.650528403,-74.1059716,11001.000000,11001.000000,7290.000000,536598.000000,3469.000000,547357.000000
13.000000,52.000000,ARJONA,2012.000000,5.000000,10.2562011,-75.34551073,13052.000000,13052.000000,1847.000000,6303.000000,347.000000,8497.000000
13.000000,244.000000,EL CARMEN DE BOLÍVAR,2012.000000,5.000000,9.718034221,-75.12113883,13244.000000,13244.000000,72023.000000,3415.000000,52559.000000,127997.000000
13.000000,430.000000,MAGANGUÉ,2006.000000,5.000000,9.241367467,-74.75566786,13430.000000,13430.000000,12537.000000,41642.000000,2291.000000,56470.000000
13.000000,836.000000,TURBACO,2012.000000,5.000000,10.33579029,-75.41554691,13836.000000,13836.000000,2142.000000,4470.000000,1141.000000,7753.000000
13.000000,1.000000,CARTAGENA DE INDIAS,2011.000000,5.000000,10.39881648,-75.50122922,13001.000000,13001.000000,12945.000000,121634.000000,1979.000000,136558.000000
13.000000,6.000000,ACHÍ,2011.000000,5.000000,8.56785243,-74.55549177,13006.000000,13006.000000,15231.000000,1107.000000,2522.000000,18860.000000
13.000000,62.000000,ARROYOHONDO,2011.000000,5.000000,10.25213365,-75.0199127,13062.000000,13062.000000,807.000000,162.000000,163.000000,1132.000000
13.000000,74.000000,BARRANCO DE LOBA,2011.000000,5.000000,8.946018513,-74.10621464,13074.000000,13074.000000,9974.000000,703.000000,5205.000000,15882.000000
13.000000,140.000000,CALAMAR,2011.000000,5.000000,10.25102481,-74.91380957,13140.000000,13140.000000,4048.000000,457.000000,164.000000,4669.000000
13.000000,160.000000,CANTAGALLO,2011.000000,5.000000,7.375411065,-73.91689961,13160.000000,13160.000000,12029.000000,989.000000,1122.000000,14140.000000
13.000000,188.000000,CICUCO,2011.000000,5.000000,9.275398729,-74.6455241,13188.000000,13188.000000,812.000000,591.000000,66.000000,1469.000000
13.000000,30.000000,ALTOS DEL ROSARIO,2011.000000,5.000000,8.792466161,-74.16523499,13030.000000,13030.000000,8931.000000,715.000000,2215.000000,11861.000000
13.000000,42.000000,ARENAL,2011.000000,5.000000,8.459143837,-73.94327836,13042.000000,13042.000000,4936.000000,1940.000000,1572.000000,8448.000000
13.000000,212.000000,CÓRDOBA,2011.000000,5.000000,9.586622995,-74.82750746,13212.000000,13212.000000,23189.000000,1100.000000,4179.000000,28468.000000
13.000000,222.000000,CLEMENCIA,2011.000000,5.000000,10.56763233,-75.32566862,13222.000000,13222.000000,1035.000000,847.000000,386.000000,2268.000000
13.000000,248.000000,EL GUAMO,2011.000000,5.000000,10.03108249,-74.97540115,13248.000000,13248.000000,3307.000000,253.000000,936.000000,4496.000000
13.000000,268.000000,EL PEÑÓN,2011.000000,5.000000,8.989058592,-73.94975188,13268.000000,13268.000000,1422.000000,331.000000,764.000000,2517.000000
13.000000,442.000000,MARÍA LA BAJA,2011.000000,5.000000,9.985133439,-75.30320145,13442.000000,13442.000000,16697.000000,3779.000000,16519.000000,36995.000000
13.000000,300.000000,HATILLO DE LOBA,2011.000000,5.000000,8.956662763,-74.07744701,13300.000000,13300.000000,702.000000,484.000000,21.000000,1207.000000
13.000000,490.000000,NOROSÍ,2011.000000,5.000000,8.527712903,-74.03752261,13490.000000,13490.000000,2090.000000,4210.000000,154.000000,6454.000000
13.000000,655.000000,SAN JACINTO DEL CAUCA,2011.000000,5.000000,8.249349771,-74.72202734,13655.000000,13655.000000,2637.000000,887.000000,845.000000,4369.000000
13.000000,657.000000,SAN JUAN NEPOMUCENO,2011.000000,5.000000,9.951381277,-75.0836663,13657.000000,13657.000000,10225.000000,2485.000000,18006.000000,30716.000000
13.000000,433.000000,MAHATES,2011.000000,5.000000,10.2331675,-75.19068859,13433.000000,13433.000000,3098.000000,1641.000000,2025.000000,6764.000000
13.000000,440.000000,MARGARITA,2011.000000,5.000000,9.160153773,-74.28498784,13440.000000,13440.000000,691.000000,233.000000,6.000000,930.000000
13.000000,458.000000,MONTECRISTO,2011.000000,5.000000,8.29331961,-74.47580245,13458.000000,13458.000000,19797.000000,701.000000,6470.000000,26968.000000
13.000000,468.000000,MOMPÓS,2011.000000,5.000000,9.241021974,-74.42579943,13468.000000,13468.000000,3080.000000,1244.000000,53.000000,4377.000000
13.000000,670.000000,SAN PABLO,2011.000000,5.000000,7.477475436,-73.92455783,13670.000000,13670.000000,21677.000000,9063.000000,18492.000000,49232.000000
